source_expression,modality,modality_class,input_scale,probe_based,gene_aggregation,transform,sample_binding_rule,provenance_kind,normalization_provenance,status
GIDE_bulk,bulk RNA-seq,BULK_RNA,UNKNOWN,False,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,NATIVE_ID_HEADER,no admissible provenance,"the file is titled 'cancercell_normalized_counts_genenames' and is non-integer, while the only local documentation (data/raw/PRJEB23709/README.md) describes the accession as ""the read counts obtained from RNAseq data"" and names neither the normalization applied nor its divisor. Declaring RAW_COUNTS would fail the integer contract; declaring any linear abundance would license a second, undocumented normalization of already-normalized data",SEMANTICS_NOT_ESTABLISHED
GSE111014_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_CPM_PLUS_1,DERIVED_DONOR_DAY,derivation code in this repository (we produced this file),"written by longitudinal-data/src/cll_sparse_qc.py as per-donor/per-day sums of raw per-cell counts, with the barcode set checked against the GEO donor and timepoint manifest",QUANTITATIVE_READY
GSE116256_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",QUANTITATIVE_READY
GSE123813_BCC_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",QUANTITATIVE_READY
GSE123813_SCC_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",QUANTITATIVE_READY
GSE139533_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_CPM_PLUS_1,GEO_SAMPLE_LABEL,file name as distributed by the submitter + GEO series-matrix !Sample_data_processing (verbatim),"file name 'GSE139533_mergede_protein_coding_counts.tab.gz' declares counts; GEO data processing: ""read counts matrix produced with featureCounts""",QUANTITATIVE_READY
GSE152469_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_CPM_PLUS_1,NATIVE_ID_HEADER,derivation code in this repository (we produced this file),"written by our single-cell QC as sums of the deposited UMI count table, one column per donor/timepoint pseudobulk",QUANTITATIVE_READY
GSE165897_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",QUANTITATIVE_READY
GSE18728_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LOG,True,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,GSM_ID_HEADER,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Probe-level data were normalized and gene expression summaries were computed for each probe set using Robust Multichip Analysis (RMA)""; RMA output is already log2-scale",QUANTITATIVE_READY
GSE20181_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LINEAR,True,MEDIAN_AFTER_TRANSFORM,LOG2_X_PLUS_1_THEN_MEDIAN_TO_GENE,GSM_ID_HEADER,GEO sample metadata field value (verbatim),"GEO !Sample_data_processing value for all 176 samples is ""MAS5""; Affymetrix MAS5 reports a linear normalized intensity, not a log2 value, so the flagged extension route log2(x + 1) applies and no library-size renormalization is legitimate for array intensity",QUANTITATIVE_READY
