cohort_code,modality,platform,n_samples,n_expression_files,n_files_local,expression_file_status,source_expressions,mapped_features,unique_canonical_genes,enters_core_gene_space
GIDE,bulk RNA-seq,NOT_MEASURED,91,1,1,LOCAL_SOURCE_PRESENT,GIDE_bulk,19720,19682,True
GSE111014,scRNA-seq,NOT_MEASURED,12,1,1,LOCAL_SOURCE_PRESENT,GSE111014_pseudobulk,22536,22423,True
GSE111636,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE114403,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE116256,scRNA-seq,NOT_MEASURED,36,1,1,LOCAL_SOURCE_PRESENT,GSE116256_pseudobulk,25935,25850,True
GSE116481,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE120575,scRNA-seq,NOT_MEASURED,43,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE123813,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE123813_BCC,scRNA-seq,NOT_MEASURED,22,1,1,LOCAL_SOURCE_PRESENT,GSE123813_BCC_pseudobulk,18800,18763,True
GSE123813_SCC,scRNA-seq,NOT_MEASURED,8,1,1,LOCAL_SOURCE_PRESENT,GSE123813_SCC_pseudobulk,15650,15629,True
GSE123845,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE124899,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE126044,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE129492,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE130157,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE130756,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE135222,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE139533,bulk RNA-seq,NOT_MEASURED,56,1,1,LOCAL_SOURCE_PRESENT,GSE139533_bulk,18435,18425,True
GSE143317,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE145281,scRNA-seq,NOT_MEASURED,14,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE147989,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE148218,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE152469,scRNA-seq,NOT_MEASURED,3,1,1,LOCAL_SOURCE_PRESENT,GSE152469_pseudobulk,22503,22423,True
GSE153319,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE154392,scRNA-seq,NOT_MEASURED,12,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE155953,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE158722,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
