,GIDE_bulk,GSE111014_pseudobulk,GSE116256_pseudobulk,GSE123813_BCC_pseudobulk,GSE123813_SCC_pseudobulk,GSE139533_bulk,GSE152469_pseudobulk,GSE165897_pseudobulk,GSE18728_array,GSE20181_array,GSE207422_bulk,GSE310856_bulk,GSE319641_bulk,GSE319794_bulk,GSE3578_array,GSE55374_array,GSE65303_array,GSE87455_array,GSE91061_bulk,MGH_GSE115821_bulk,MGH_GSE168204_bulk,MORRISON_bulk,TRIO_US_B07_array
GIDE_bulk,19682,18588,18611,17266,14857,16827,18588,17749,17161,11753,18758,19174,18267,17211,15904,17282,16672,17282,18014,17433,17456,17650,17015
GSE111014_pseudobulk,18588,22423,21374,18763,15629,18388,22423,19370,18482,12230,22276,22369,19012,18800,17286,18902,17742,18902,19577,19049,19075,18055,18205
GSE116256_pseudobulk,18611,21374,25850,18209,15207,18416,21374,19810,19248,12419,24396,25535,19600,18750,17881,20389,18192,20389,21513,20986,21012,18691,18805
GSE123813_BCC_pseudobulk,17266,18763,18209,18763,15562,16267,18763,18140,16775,11514,18686,18735,17882,16608,15609,16700,16235,16700,17492,16815,16838,17056,16598
GSE123813_SCC_pseudobulk,14857,15629,15207,15562,15629,13901,15629,15344,14292,10171,15580,15614,15259,14162,13263,14232,13970,14232,14792,14338,14358,14773,14234
GSE139533_bulk,16827,18388,18416,16267,13901,18425,18388,16808,16672,11864,18405,18418,16672,18331,15710,17880,16865,17880,17826,18366,18392,16271,16998
GSE152469_pseudobulk,18588,22423,21374,18763,15629,18388,22423,19370,18482,12230,22276,22369,19012,18800,17286,18902,17742,18902,19577,19049,19075,18055,18205
GSE165897_pseudobulk,17749,19370,19810,18140,15344,16808,19370,23154,17775,11899,22819,23113,19938,17131,16446,17672,17191,17672,18798,17443,17469,19103,17502
GSE18728_array,17161,18482,19248,16775,14292,16672,18482,17775,19931,12515,18998,19567,17750,16885,17174,17531,17262,17531,18518,17209,17233,16886,17825
GSE20181_array,11753,12230,12419,11514,10171,11864,12230,11899,12515,12515,12416,12454,11817,11973,11490,12138,12173,12138,12317,12129,12146,11612,12242
GSE207422_bulk,18758,22276,24396,18686,15580,18405,22276,22819,18998,12416,34848,34729,21379,18766,17587,20195,18415,20195,21238,20736,20762,20460,18709
GSE310856_bulk,19174,22369,25535,18735,15614,18418,22369,23113,19567,12454,34729,39362,22924,18793,18141,20380,18563,20380,21573,20953,20979,21040,18902
GSE319641_bulk,18267,19012,19600,17882,15259,16672,19012,19938,17750,11817,21379,22924,23884,17012,16426,17556,16920,17556,18565,17262,17287,19158,17317
GSE319794_bulk,17211,18800,18750,16608,14162,18331,18800,17131,16885,11973,18766,18793,17012,18800,15899,18096,17084,18096,18096,18615,18641,16564,17219
GSE3578_array,15904,17286,17881,15609,13263,15710,17286,16446,17174,11490,17587,18141,16426,15899,18423,16477,16028,16477,17093,16191,16214,15621,16469
GSE55374_array,17282,18902,20389,16700,14232,17880,18902,17672,17531,12138,20195,20380,17556,18096,16477,20550,17567,20550,19404,19025,19051,17058,17892
GSE65303_array,16672,17742,18192,16235,13970,16865,17742,17191,17262,12173,18415,18563,16920,17084,16028,17567,18745,17567,17884,17368,17393,16500,17973
GSE87455_array,17282,18902,20389,16700,14232,17880,18902,17672,17531,12138,20195,20380,17556,18096,16477,20550,17567,20550,19404,19025,19051,17058,17892
GSE91061_bulk,18014,19577,21513,17492,14792,17826,19577,18798,18518,12317,21238,21573,18565,18096,17093,19404,17884,19404,21813,19083,19109,17952,18392
MGH_GSE115821_bulk,17433,19049,20986,16815,14338,18366,19049,17443,17209,12129,20736,20953,17262,18615,16191,19025,17368,19025,19083,20997,20997,16829,17527
MGH_GSE168204_bulk,17456,19075,21012,16838,14358,18392,19075,17469,17233,12146,20762,20979,17287,18641,16214,19051,17393,19051,19109,20997,21023,16852,17553
MORRISON_bulk,17650,18055,18691,17056,14773,16271,18055,19103,16886,11612,20460,21040,19158,16564,15621,17058,16500,17058,17952,16829,16852,21050,16784
TRIO_US_B07_array,17015,18205,18805,16598,14234,16998,18205,17502,17825,12242,18709,18902,17317,17219,16469,17892,17973,17892,18392,17527,17553,16784,19098
