source_expression,status,cohort_codes,modalities,platform,expression_file,declared_feature_type,local_samples,source_features,mapped_features,mapped_fraction,unique_canonical_genes,exact_mapping_fraction,alias_fraction,previous_symbol_fraction,platform_annotation_fraction,ambiguous_fraction,unmapped_fraction,n_exact,n_alias,n_previous_symbol,n_platform_annotation,n_ambiguous,n_unmapped,duplicate_features,features_per_canonical_gene,enters_core_gene_space,unmapped_methods,unmapped_token_patterns
GIDE_bulk,MAPPED,GIDE,bulk RNA-seq,NOT_MEASURED,data/raw/PRJEB23709/cancercell_normalized_counts_genenames.txt,ENSEMBL_GENE_ID,91,22300,19720,0.8843,19682,0.8818,0.0001,0.0023,0.0,0.0,0.1157,19665,3,52,0,1,2579,0,1.002,True,"{""AUTHOR_SYMBOL_FALLBACK:NOT_IN_HGNC"": 2579}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE111014_pseudobulk,MAPPED,GSE111014,scRNA-seq,NOT_MEASURED,longitudinal-data/data/processed/GSE111014_pseudobulk_counts.csv.gz,GENE_SYMBOL,12,33694,22536,0.6688,22423,0.6174,0.0085,0.043,0.0,0.0001,0.331,20803,285,1448,0,5,11153,34,1.005,True,"{""NOT_IN_HGNC"": 11153}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE116256_pseudobulk,MAPPED,GSE116256,scRNA-seq,NOT_MEASURED,longitudinal-data/data/processed/GSE116256_gene_log_expression.csv.gz,GENE_SYMBOL,36,27899,25935,0.9296,25850,0.8808,0.0019,0.047,0.0,0.0002,0.0702,24573,52,1310,0,6,1958,0,1.003,True,"{""NOT_IN_HGNC"": 1958}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 1676, ""excel_date_corrupted_symbol"": 0}"
GSE123813_BCC_pseudobulk,MAPPED,GSE123813_BCC,scRNA-seq,NOT_MEASURED,longitudinal-data/data/processed/GSE123813_BCC_gene_log_expression.csv.gz,GENE_SYMBOL,22,23309,18800,0.8066,18763,0.7458,0.0082,0.0525,0.0,0.0002,0.1933,17384,192,1224,0,4,4505,0,1.002,True,"{""NOT_IN_HGNC"": 4505}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE123813_SCC_pseudobulk,MAPPED,GSE123813_SCC,scRNA-seq,NOT_MEASURED,longitudinal-data/data/processed/GSE123813_SCC_gene_log_expression.csv.gz,GENE_SYMBOL,8,18347,15650,0.853,15629,0.7903,0.0063,0.0564,0.0,0.0002,0.1468,14500,115,1035,0,4,2693,0,1.001,True,"{""NOT_IN_HGNC"": 2693}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE139533_bulk,MAPPED,GSE139533,bulk RNA-seq,NOT_MEASURED,longitudinal-data/data/raw/GSE139533/GSE139533_mergede_protein_coding_counts.tab.gz,GENE_SYMBOL,56,18445,18435,0.9995,18425,0.9629,0.0,0.0366,0.0,0.0002,0.0004,17760,0,675,0,3,7,0,1.001,True,"{""NOT_IN_HGNC"": 7}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE152469_pseudobulk,MAPPED,GSE152469,scRNA-seq,NOT_MEASURED,longitudinal-data/data/processed/GSE152469_pseudobulk_counts.csv.gz,GENE_SYMBOL,3,33694,22503,0.6679,22423,0.6165,0.0085,0.0429,0.0,0.0001,0.332,20773,285,1445,0,5,11186,0,1.004,True,"{""NOT_IN_HGNC"": 11186}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE165897_pseudobulk,MAPPED,GSE165897,scRNA-seq,NOT_MEASURED,longitudinal-data/data/processed/GSE165897_gene_log_expression.csv.gz,GENE_SYMBOL,22,32847,23209,0.7066,23154,0.6561,0.0071,0.0433,0.0,0.0002,0.2932,21552,234,1423,0,7,9631,0,1.002,True,"{""NOT_IN_HGNC"": 9631}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 1, ""excel_date_corrupted_symbol"": 0}"
GSE18728_array,MAPPED,GSE18728,microarray,GPL570,longitudinal-data/data/raw/GSE18728/GSE18728_series_matrix.txt.gz,AFFYMETRIX_PROBE_ID,61,54675,42232,0.7724,19931,0.0,0.0,0.0,0.7724,0.0301,0.1975,0,0,0,42232,1644,10799,0,2.119,True,"{""PLATFORM_ANNOTATION:GPL570:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 9557, ""PLATFORM_ANNOTATION:GPL570:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 1242}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE20181_array,MAPPED,GSE20181,microarray,GPL96,longitudinal-data/data/raw/GSE20181/GSE20181_series_matrix.txt.gz,AFFYMETRIX_PROBE_ID,176,22283,20048,0.8997,12515,0.0,0.0,0.0,0.8997,0.0448,0.0555,0,0,0,20048,999,1236,0,1.602,True,"{""PLATFORM_ANNOTATION:GPL96:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 1127, ""PLATFORM_ANNOTATION:GPL96:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 109}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
