gsm,sample_gse20181,patient_gse20181,sample_gse5462,patient_gse5462,native_patient_ids_agree,evidence
GSM125123,BSMP_563ba39b6a30845d,10,BSMP_7e47be992822db5b,10,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125124,BSMP_f15dfac4df5cfd26,10,BSMP_9dee4c159b40b818,10,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125125,BSMP_9eec2a115e848347,11,BSMP_0bfdac4f3bf9d079,11,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125126,BSMP_173ee08181c488ad,11,BSMP_169e49b7aaf0351c,11,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125127,BSMP_d0b5d30da8f537f4,12,BSMP_07d16102bbb32424,12,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125128,BSMP_bc32a218c429e709,12,BSMP_cd2c4edf8a1e30b6,12,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125129,BSMP_514c20b3d0291239,13,BSMP_aecc2bc5cad82bae,13,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125130,BSMP_a6f904fe832ebc0e,13,BSMP_048e9a46cd5658a4,13,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125131,BSMP_73d92bd11e8bb552,14,BSMP_41c0a7c8fe021553,14,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125132,BSMP_4345b13907e0cb51,14,BSMP_42a49bc60b9a5c64,14,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125133,BSMP_2ce9a6be827d3630,15,BSMP_4cf9794fda0d6e71,15,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125134,BSMP_a932a52fc2114678,15,BSMP_b17124a6e9847fe9,15,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125135,BSMP_f53770f8c2a01e40,16,BSMP_7d274dcb54b1d879,16,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125136,BSMP_80e49e99ffe388ae,16,BSMP_211190c32e43e924,16,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125137,BSMP_15b1fc2c797153fa,17,BSMP_3197c2b8bf57f92d,17,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125138,BSMP_c069569ff9b23a92,17,BSMP_0fac5ed3cc73b868,17,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125139,BSMP_4491629586b55c1c,18,BSMP_a042870adfe9a4f0,18,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125140,BSMP_aa96029c910380b2,18,BSMP_f343a058bbd4d48b,18,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125141,BSMP_2301362930a9d322,19,BSMP_076afb89f1b6f26c,19,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125142,BSMP_e9a6bd658867fd82,19,BSMP_758a0e9de2b4f607,19,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125143,BSMP_91839e27f4a98def,20,BSMP_ab210d0da4844269,20,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125144,BSMP_728b38a32fb20e41,20,BSMP_914517575389f704,20,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125145,BSMP_8efc5fd2da4b561e,21,BSMP_9b662422223d5ab3,21,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125146,BSMP_6238fc9cdd415032,21,BSMP_ab66f4af6207f56f,21,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125147,BSMP_66d2e5016a69a151,22,BSMP_c9f2033f1f4a29e3,22,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125148,BSMP_ffeac737efc02d03,22,BSMP_976247c7540094e8,22,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125149,BSMP_0e54290d7b1e7736,23,BSMP_6639104ea75b67e1,23,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125150,BSMP_d9ae25ffbe75cc88,23,BSMP_556e7d36ceb657d0,23,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125151,BSMP_8eafbc277a8a5302,24,BSMP_a7958f4efb73d487,24,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125152,BSMP_60451461bbe73680,24,BSMP_30e9f05f64400de9,24,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125153,BSMP_9d8beabf25259f8c,25,BSMP_f20df0decf53222c,25,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125154,BSMP_f5e79ef6a2b2192f,25,BSMP_17602a00f6144a1b,25,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125155,BSMP_89e92a7f79748608,27,BSMP_080af7e4ca566c34,27,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125156,BSMP_067af91f0a906125,27,BSMP_887262530c2f65e2,27,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125157,BSMP_493afb13275b28c9,28,BSMP_f7dcbf91157f342e,28,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125158,BSMP_ecbeef9c6df7cd9f,28,BSMP_1113b9b27190613b,28,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125159,BSMP_f85c208066fd828c,29,BSMP_f6729e7891f3c288,29,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125160,BSMP_3e0a77397e5dd929,29,BSMP_f778ca18fd73005d,29,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125161,BSMP_9370ae02aefc4c36,2,BSMP_45faa8c5d4592c6a,2,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125162,BSMP_b006b9a2aa559be7,2,BSMP_2d5debb3acb988b3,2,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125163,BSMP_11065c8323fa9efc,30,BSMP_4221c298e5910de9,30,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125164,BSMP_259a82ff7de99b7a,30,BSMP_3c9c29d2aa6bb1b1,30,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125165,BSMP_34830b807dc882a6,31,BSMP_45efb8d99d9c903d,31,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125166,BSMP_d3469e6dd82df63f,31,BSMP_d53543f4e7ee9df6,31,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125167,BSMP_2946f3d9d3b96eef,33,BSMP_19038662fce583a7,33,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125168,BSMP_1477c7ca837cc00c,33,BSMP_2b95f7b0fc4b4586,33,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125169,BSMP_bcb572a08d92474a,34,BSMP_f6419bf61b3a55ee,34,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125170,BSMP_dde2a45ff13b9ac0,34,BSMP_1b0d4d615437efc4,34,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125171,BSMP_563158d79ff04f50,35,BSMP_a249f03e708f917e,35,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125172,BSMP_b0d5d593ca3b744c,35,BSMP_11c7b52b3795ae0f,35,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125173,BSMP_9732fab728e46c60,36,BSMP_3e00180db29530c0,36,True,SHARED_GSM_SAMPLE_ACCESSION
GSM125174,BSMP_66f6eba8585bdb81,36,BSMP_4be5bc03411d9733,36,True,SHARED_GSM_SAMPLE_ACCESSION
