source_expression,modality_class,c1_input_scale,c1_status,ranking_universe_genes,samples_ranked,matrix_columns_in_c1,columns_not_bound_to_a_sample,core_genes_present_in_source,core_finite_fraction_min,core_finite_fraction_median,core_finite_fraction_max,genes_ranked_per_sample_median,largest_tie_block_fraction_min,largest_tie_block_fraction_median,rank_unique_values_median,rank_min,rank_max,rank_exclusive_zero_one,float32_output,preprocessing_scope,fold_isolation,author_batch_corrected,build_id,rank_matrix_relpath,rank_matrix_size_bytes,failure
GSE111014_pseudobulk,SCRNA_PSEUDOBULK,RAW_COUNTS,QUANTITATIVE_READY,9338,12,12,0,9329,0.9990361961876205,0.9990361961876205,0.9990361961876205,9329.0,0.06656662021652911,0.11121234859041698,1272.0,0.03328331187367439,0.9999464154243469,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE111014_pseudobulk.canonical_core_rank.parquet,275452,
GSE116256_pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,QUANTITATIVE_READY,9338,35,35,0,9338,1.0,1.0,1.0,9338.0,0.038659241807667596,0.11319340329835083,786.0,0.019329620525240898,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE116256_pseudobulk.canonical_core_rank.parquet,590991,
GSE123813_BCC_pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,QUANTITATIVE_READY,9338,22,22,0,9338,1.0,1.0,1.0,9338.0,0.009638038123795245,0.09070464767616192,1675.5,0.004819019231945276,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE123813_BCC_pseudobulk.canonical_core_rank.parquet,528556,
GSE123813_SCC_pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,QUANTITATIVE_READY,9338,8,8,0,9338,1.0,1.0,1.0,9338.0,0.04636967230670379,0.12133219104733348,2402.5,0.02318483591079712,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE123813_SCC_pseudobulk.canonical_core_rank.parquet,248854,
GSE139533_bulk,BULK_RNA,RAW_COUNTS,QUANTITATIVE_READY,9338,25,25,0,9338,1.0,1.0,1.0,9338.0,0.010923109873634611,0.052687941743414006,2176.0,0.005461554974317551,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE139533_bulk.canonical_core_rank.parquet,644336,
GSE152469_pseudobulk,SCRNA_PSEUDOBULK,RAW_COUNTS,QUANTITATIVE_READY,9338,3,3,0,9338,1.0,1.0,1.0,9338.0,0.0920968087384879,0.11137288498607839,1570.0,0.04604840278625488,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE152469_pseudobulk.canonical_core_rank.parquet,126191,
GSE165897_pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,QUANTITATIVE_READY,9338,22,22,0,9338,1.0,1.0,1.0,9338.0,0.005247376311844078,0.010708931248661385,2164.5,0.002463054144755006,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE165897_pseudobulk.canonical_core_rank.parquet,583008,
GSE18728_array,MICROARRAY,ARRAY_NORMALIZED_LOG,QUANTITATIVE_READY,9338,61,61,0,9338,1.0,1.0,1.0,9338.0,0.12818590704647675,0.14178624973227671,7877.0,0.0640929564833641,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE18728_array.canonical_core_rank.parquet,2954703,
GSE20181_array,MICROARRAY,ARRAY_NORMALIZED_LINEAR,QUANTITATIVE_READY,9338,176,176,0,9338,1.0,1.0,1.0,9338.0,0.00010708931248661383,0.0011779824373527523,6315.0,5.3544656111625955e-05,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE20181_array.canonical_core_rank.parquet,8082945,
GSE207422_bulk,BULK_RNA,LOG2_TPM,QUANTITATIVE_READY,9338,24,24,0,9338,1.0,1.0,1.0,9338.0,0.0023559648747055045,0.0049261083743842365,9290.0,0.0011779824271798134,0.9999464750289917,True,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,v0.4.1-C2+core9338+20260919T145353Z,longitudinal-data/data/processed/expression_v0.4_rank/GSE207422_bulk.canonical_core_rank.parquet,1367478,
