cohort_id	accession	source	license_terms	download_method	raw_redistribution	processed_redistribution	sample_unit	patient_unit	response_definition	public_role	exclusion_reason	checksum	expected_schema	status
GSE91061	GSE91061	Riaz et al. public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	study response definition	boundary derivation metadata	outside contract	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
PRJEB23709	PRJEB23709	Gide et al. public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	PASS-ON response labels	core on-treatment transfer and paired movement	outside contract	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
MORRISON-1-public	ParkerICI public release	ParkerICI release	TERMS_REVIEW_REQUIRED	release_download_script	NO	NO	biopsy	subject	release response labels	core on-treatment transfer	outside contract	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
MGH	GSE115821;GSE168204	Liu and Schilling public repositories	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	cohort response definition	directional external transfer	outside contract	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
Sade-Feldman	GSE120575	Sade-Feldman et al. public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	cell	patient	published response labels	carrier composition in CD45+ substrate	outside contract; comparison-only payload retained	PENDING_CHECKSUM	cell_expression_lineage.tsv	HOLD
GSE78220	GSE78220	Hugo et al. public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	Complete/Partial vs Progressive; pretreatment	pretreatment operating-envelope patient-mean primary	27 eligible biopsies, 26 patients; all eligible unweighted patient mean; QDA output computed; analysis status COMPUTED_PRIMARY	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
IMvigor210	IMvigor210	public urothelial cohort release	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	CR/PR versus SD/PD	cross-disease operating-envelope comparison only	source adapter not authority-closed; retain comparison payload only; analysis status COMPARISON_ONLY	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
GSE282471	GSE282471	Kimura et al. public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	published response labels	superseded candidate; no active operating-envelope role	candidate superseded; old .571 tuple retired; analysis status SUPERSEDED_HOLD	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
GSE273583	GSE273583	public melanoma release	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	resistance-state metadata	resistance context	no response-labeled validation role	PENDING_CHECKSUM	axis_expression_response.tsv	HOLD
TCGA-SKCM	TCGA-SKCM	GDC public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	biopsy	patient	untreated survival outcome	prognostic context only	no ICB response role	PENDING_CHECKSUM	axis_expression_survival.tsv	HOLD
Yost-BCC	GSE123813	Yost et al. public repository	TERMS_REVIEW_REQUIRED	accession_download_script	NO	NO	cell	patient	published response labels	cross-disease extension context	no melanoma claim	PENDING_CHECKSUM	cell_expression_lineage.tsv	HOLD
