dataset_id	display_name	accession	source	publication_citation	disease_context	assay	timepoint	study_role	required_files	required_columns	expected_units	local_config_key	producer_chain	acquisition_note
GSE91061	GSE91061 / Riaz	GSE91061	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91061	Riaz et al. Cell 2017; doi:10.1016/j.cell.2017.09.028	Melanoma; nivolumab	Bulk RNA-seq	On-treatment analysis set	Frozen-state derivation and transition-direction reference	processed/expression_log2_GSE91061_symbol.csv;raw_data/GSE91061_family.soft.gz	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,timepoint,response	analysis=27 on-treatment biopsies/27 patients;source=109 samples/65 patients	datasets.GSE91061.root	FROZEN_STATE_TRANSFER	Download processed expression and SOFT metadata from GEO.
PRJEB23709	PRJEB23709 / Gide	PRJEB23709	https://www.ebi.ac.uk/ena/browser/view/PRJEB23709	Gide et al. Cancer Cell 2019; doi:10.1016/j.ccell.2019.01.003	Melanoma; anti-PD-1 with or without anti-CTLA-4	Bulk RNA-seq	On-treatment and matched pre-to-on	Core state transfer and paired dynamics	raw_data/PRJEB23709/cancercell_normalized_counts_genenames.txt;metadata/v2_external/gide_passon_on_treatment_labels.csv;results/v3_3/PRJEB_vs_GSE91061_transition_direction.csv	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,timepoint,response,therapy,pair_id	18 on-treatment biopsies;16 paired therapy records/15 patients	datasets.PRJEB23709.root	FROZEN_STATE_TRANSFER;PAIRED_DYNAMICS	Obtain expression and clinical annotations from ENA and study supplements; preserve therapy-specific pairing.
MORRISON-1-public	MORRISON-1-public	PRJNA923698	https://github.com/ParkerICI/MORRISON-1-public	Campbell et al. Cancer Cell 2023; doi:10.1016/j.ccell.2023.03.010	Melanoma; anti-PD-1 with or without prior anti-CTLA-4	Bulk RNA-seq	On-treatment	Core external state transfer	raw_data/MORRISON-1-public/RNASeq/data/RNA-CancerCell-MORRISON1-no_batch_correction-logcpm-all_samples.tsv;metadata/v2_external/morrison_candidate_on_treatment_subset.tsv	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,timepoint,response,therapy	38 biopsies/38 subjects	datasets.MORRISON_1_PUBLIC.root	FROZEN_STATE_TRANSFER	Use the public non-overlap ParkerICI release and its response annotations.
MGH	MGH melanoma cohorts	GSE115821;GSE168204	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115821;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168204	Liu et al. Nature Medicine 2019; doi:10.1038/s41591-019-0654-5; Du et al. Nature Communications 2021; doi:10.1038/s41467-021-26299-4	Melanoma; PD-(L)1-containing therapy	Bulk RNA-seq	On-treatment	Supportive directional external transfer	raw_data/GSE115821_MGH_counts.csv.gz;raw_data/GSE168204_MGH_counts.csv.gz;metadata/v2_external/mgh_passon_sample_mapping.tsv;metadata/v2_external/mgh_passon_on_treatment_labels.csv	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,timepoint,response,source_accession	29 biopsies/14 patients	datasets.MGH.root	FROZEN_STATE_TRANSFER	Download both GEO studies and build the harmonized metadata table locally; do not publish its identifier map.
Sade-Feldman	Sade-Feldman melanoma single-cell cohort	GSE120575	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120575	Sade-Feldman et al. Cell 2018; doi:10.1016/j.cell.2018.10.038	Melanoma; checkpoint blockade; CD45+ substrate	Smart-seq2 scRNA-seq	Pretreatment and on-treatment	Carrier grounding and CD45+ pseudo-bulk envelope context	raw_data/GSE120575/GSE120575_Sade_Feldman_melanoma_single_cells_TPM_GEO.txt.gz	expression=gene_symbol,<cell_id...>;metadata=cell_id,sample_id,patient_id,timepoint,response,cell_type,lineage	48 tumor samples/16291 immune cells in source;10363-cell on-treatment carrier universe	datasets.GSE120575.root	CARRIER_GROUNDING;OPERATING_ENVELOPE	Download processed TPM and metadata from GEO; controlled raw reads are not required.
GSE78220	GSE78220 / Hugo	GSE78220	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78220	Hugo et al. Cell 2016; doi:10.1016/j.cell.2016.02.065	Metastatic melanoma; anti-PD-1	Bulk RNA-seq	Pretreatment	Operating-envelope patient-mean check (closed primary rule)	raw_data/GSE78220/GSE78220_PatientFPKM.xlsx;raw_data/GSE78220_family.soft.gz	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,timepoint,response,biopsy_order	27 eligible baseline biopsies/26 patients	datasets.GSE78220.root	OPERATING_ENVELOPE	Unweighted arithmetic mean over all eligible biopsies is the primary patient rule; earliest and clustered sensitivities are separate.
IMvigor210	IMvigor210 urothelial cohort	IMvigor210CoreBiologies	http://research-pub.gene.com/IMvigor210CoreBiologies	Mariathasan et al. Nature 2018; doi:10.1038/nature25501	Metastatic urothelial carcinoma; atezolizumab	Bulk RNA-seq	Pretreatment	Cross-disease operating-envelope context	processed/v2_external/imvigor210_states_TEXC.csv	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,response,immune_phenotype,timepoint	348 retained state records;235 strict response records;284 phenotype-annotated records	datasets.IMVIGOR210.root	OPERATING_ENVELOPE	Export expression and clinical metadata from the original study package or an equivalent documented source.
GSE282471	GSE282471 / Kimura	GSE282471	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282471	Kimura et al. Communications Medicine 2026; doi:10.1038/s43856-025-01341-4	Japanese melanoma; ICI; acral/mucosal-enriched	Bulk RNA-seq / RSEM	Pretreatment	SUPERSEDED_HOLD; historical candidate not an active claim	raw_data/GSE282471/rsem/*.genes.results.gz;raw_data/GSE282471/GSE282471_clinical_S2_CommMed.xlsx;raw_data/GSE282471/GSE282471_samples_S3_CommMed.xlsx	expression=gene_id,FPKM,TPM;clinical=patient_id,response,ici_regimen;sample=sample_id,patient_id,timepoint,rna_available	36 pretreatment samples/33 patients	datasets.GSE282471.root	OPERATING_ENVELOPE	Historical candidate is retained only for audit; do not rerun or publish the old .571 tuple without explicit reauthorization.
GSE273583	GSE273583 resistance cohort	GSE273583	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273583	Wei et al. A Comprehensive Proteogenomic and Spatial Analysis of Innate and Acquired Resistance of Metastatic Melanoma to Immune Checkpoint Blockade Therapies; GEO study record, no linked journal citation in current metadata	Metastatic melanoma with innate or acquired ICB resistance	Bulk RNA-seq	Pre/post treatment; active use is resistance context	Supplementary resistance-state concordance	raw_data/GSE273583/GSE273583_counts.csv.gz;raw_data/GSE273583/GSE273583_family.soft.gz	expression=gene_symbol,<sample_id...>;metadata=sample_id,patient_id,timepoint,therapy,resistance_status	16 expression samples;public pairing key not assumed	datasets.GSE273583.root	OPERATING_ENVELOPE	Download count matrix and metadata from GEO; pairing remains unavailable unless the source supplies a verifiable key.
TCGA-SKCM	TCGA cutaneous melanoma	TCGA-SKCM	https://portal.gdc.cancer.gov/projects/TCGA-SKCM	TCGA Network Cell 2015; Thorsson et al. Immunity 2018; doi:10.1016/j.immuni.2018.03.023	Cutaneous melanoma; untreated prognostic context	Bulk RNA-seq	Surgical / untreated	Prognostic context only; not ICB response evidence	raw_data/TCGA-SKCM/expression.tsv.gz;raw_data/TCGA-SKCM/clinical.tsv	expression=gene_symbol,<sample_id...>;clinical=sample_id,patient_id,overall_survival_time,overall_survival_event	459 tumors/459 patients in frozen analysis contract	datasets.TCGA_SKCM.root	OPERATING_ENVELOPE	Query the declared TCGA-SKCM expression and clinical fields from GDC.
