figure_id	panel_id	panel_type	source_data	producer	input_objects	reference_output	editable_output	generated_artwork_status	human_redrawn_status	license_status	scientific_equivalence_status	rendering_review_status
Figure1	conceptual	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	CONCEPTUAL_ASSET_CONTRACT	CONCEPTUAL_ASSET_CONTRACT
Figure2	A_F2_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
Figure3	B_F3_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	B canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
Figure4	C_F4_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	C canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
Figure5	D_F5_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	D canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED_PRIMARY_PLUS_COMPARISON_ONLY	COMPUTED_PRIMARY_PLUS_COMPARISON_ONLY
ST07	D_FINAL	retired_projection		retired; no producer restored	GSE282471 historical candidate			RETIRED	NOT_APPLICABLE	POLICY_EXCLUSION	RETIRED	RETIRED
S01	A_F1_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	HOLD_COMPONENT_NOT_AVAILABLE	HOLD_COMPONENT_NOT_AVAILABLE
S02	A_F1_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	HOLD_COMPONENT_NOT_AVAILABLE	HOLD_COMPONENT_NOT_AVAILABLE
S03	B_F3_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	B canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
S04	A_F1_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	HOLD_COMPONENT_NOT_AVAILABLE	HOLD_COMPONENT_NOT_AVAILABLE
S05	A_F2_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
S06	A_F2_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
S07	A_F2_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
S08	A_F2_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
S09	D_F5_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	D canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED_PRIMARY_PLUS_COMPARISON_ONLY	COMPUTED_PRIMARY_PLUS_COMPARISON_ONLY
S10	D_F5_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	D canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED_PRIMARY_PLUS_COMPARISON_ONLY	COMPUTED_PRIMARY_PLUS_COMPARISON_ONLY
S11	A_F2_PANEL	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	A canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
S12	C_E1_SHARES	aggregate_projection	outputs/shared_chains	meld_icb.object_adapters	C canonical aggregate	outputs/shared_chains	figures/reproduced	ADAPTER_ONLY	UNRESOLVED	ADAPTER_CONTRACT	COMPUTED	COMPUTED
