omitted_patient,n_remaining,n_records_remaining,mean_delta_L,median_delta_L,n_favor_augmented,n_favor_baseline,P_two_sided,P_worsening,P_improvement,n_sign_patterns,L_baseline,L_augmented,oof_auc_X0,oof_auc_X1,delta_from_complete_mean,mean_changes_sign
47,14,15,-0.0987781206456282,-0.0020514462201223,6,8,0.01513671875,0.007568359375,0.99249267578125,16384,0.4718327943447082,0.5706109149903366,0.86,0.6799999999999999,-0.0174700153833351,False
8,14,15,-0.0927624166401665,-0.0053832871892674,3,11,0.0028076171875,0.00140380859375,0.9986572265625,16384,0.498918860608486,0.5916812772486526,0.7727272727272727,0.5909090909090909,-0.0114543113778734,False
10,14,15,-0.0888628156972882,0.0002754883978135,8,6,0.03125,0.015625,0.98443603515625,16384,0.4521566628017491,0.5410194784990373,0.8409090909090909,0.6363636363636364,-0.0075547104349951,False
1,14,15,-0.0882468190459826,-0.0030899988536351,5,9,0.0137939453125,0.00689697265625,0.9931640625,16384,0.4832243909113664,0.571471209957349,0.7954545454545454,0.6363636363636364,-0.0069387137836895,False
25,14,15,-0.0880289875847028,0.0015455900815707,8,6,0.123779296875,0.0618896484375,0.93817138671875,16384,0.4760240359101457,0.5640530234948485,0.84,0.72,-0.0067208823224097,False
27,14,15,-0.0866540704064339,-0.0068580136980668,2,12,0.0037841796875,0.00189208984375,0.9981689453125,16384,0.4834008945577141,0.5700549649641481,0.84,0.7,-0.0053459651441408,False
35,14,15,-0.0862956674030019,-0.006774216212892,0,14,0.0001220703125,6.103515625e-05,1.0,16384,0.4808140367032079,0.5671097041062099,0.84,0.7,-0.0049875621407088,False
19,14,15,-0.0853263602084237,-0.0052057948249016,4,10,0.00732421875,0.003662109375,0.99639892578125,16384,0.48350721049623,0.5688335707046538,0.84,0.7,-0.0040182549461306,False
48,14,15,-0.0852571181293257,-0.0026790213706623,6,8,0.0155029296875,0.00775146484375,0.9923095703125,16384,0.4921902080401582,0.5774473261694838,0.82,0.6799999999999999,-0.0039490128670326,False
41,14,15,-0.0849130209957547,0.009005339237056,10,4,0.177734375,0.0888671875,0.91119384765625,16384,0.4556554812408905,0.5405685022366453,0.88,0.74,-0.0036049157334616,False
36,14,15,-0.0836339474111648,-0.0012328754609529,7,7,0.02734375,0.013671875,0.98638916015625,16384,0.489415934379689,0.5730498817908538,0.84,0.6799999999999999,-0.0023258421488717,False
29,14,15,-0.0783429921257168,-0.0095272774762608,4,10,0.0059814453125,0.00299072265625,0.9970703125,16384,0.434688443889604,0.5130314360153208,0.9,0.74,0.0029651131365762,False
33,14,15,-0.0758789274606861,0.0087309984913554,10,4,0.192626953125,0.0963134765625,0.90374755859375,16384,0.4266157472895658,0.5024946747502519,0.9,0.8,0.0054291778016069,False
13,14,14,-0.0407515821300413,0.0150670004088257,8,6,0.438232421875,0.2191162109375,0.78094482421875,16384,0.4636683726099891,0.5044199547400304,0.85,0.75,0.0405565231322517,False
17,14,15,-0.0090109323613763,-0.0211480577646284,4,10,0.7138671875,0.35693359375,0.64312744140625,16384,0.381086013583485,0.3900969459448612,0.9090909090909092,0.8863636363636364,0.0722971729009167,False
