axis,lineage,n_cells,axis_signal_share,axis_mean
T,Mast,2,0.0,0.0
T,Fibroblast,1,3.2353593269363046e-05,0.1003375872969627
T,Malignant,3,0.0007919137715362,0.8186491131782532
T,Unassigned,43,0.0021129001397639,0.1523883193731308
T,Plasma,426,0.0286323241889476,0.2084434032440185
T,NK,597,0.0338870286941528,0.1760355234146118
T,B_cell,957,0.0565827973186969,0.1833638101816177
T,Treg,812,0.0853251591324806,0.3258833885192871
T,Myeloid,992,0.1341345310211181,0.4193436801433563
T,CD4_T,2729,0.2602354288101196,0.2957358956336975
T,CD8_T,3801,0.3982656002044678,0.3249496519565582
