lineage,axis,n_R,n_NR,mean_R,mean_NR,delta_R_minus_NR,cohen_d,mw_p
B_cell,T,536,404,0.1747740729477612,0.1827166642079207,-0.0079425912601595,-0.0270753117242135,0.5640974776446867
B_cell,E,536,404,0.024774076130597,0.0645484802945544,-0.0397744041639574,-0.269970818599333,4.407568660131433e-06
B_cell,X,536,404,0.1564305218376865,0.1685694136225247,-0.0121388917848381,-0.0891338022905127,0.5647350096475827
B_cell,C,536,404,0.0675603055746268,0.0679931527524752,-0.0004328471778483,-0.0022988505119864,0.860708758310582
CD4_T,T,1019,2393,0.1453081763405299,0.2877652814638529,-0.142457105123323,-0.2835589765695376,2.8459986116252732e-11
CD4_T,E,1019,2393,0.5229324637585869,0.670507621190138,-0.147575157431551,-0.2628216892768448,5.199316056045647e-13
CD4_T,X,1019,2393,0.2264630093395485,0.2433118349206017,-0.0168488255810531,-0.1160756777425536,0.0016387273302429
CD4_T,C,1019,2393,0.636948434697743,0.8293294581625577,-0.1923810234648146,-0.2923558462341007,2.999645309351352e-14
CD8_T,T,792,2795,0.2292423792045454,0.3892561314354203,-0.1600137522308749,-0.2520671399693484,3.502637434074961e-09
CD8_T,E,792,2795,1.596764439886364,1.870949875194991,-0.2741854353086272,-0.4995179458238101,1.597888272249562e-32
CD8_T,X,792,2795,0.2106851425770202,0.2417614366679785,-0.0310762940909583,-0.2155343435760373,1.563147414689915e-09
CD8_T,C,792,2795,0.9335880988169192,1.178573162885868,-0.2449850640689487,-0.3473871080282788,3.770689949319461e-17
Myeloid,T,71,838,0.2912437697183098,0.442832856702864,-0.1515890869845541,-0.2513808933285975,0.8111874707671246
Myeloid,E,71,838,0.169108186056338,0.153506194045346,0.0156019920109919,0.06170315571231,0.9689961732957574
Myeloid,X,71,838,0.5850503547887326,0.7818972221801909,-0.1968468673914583,-0.7877124192437135,3.265270831304721e-10
Myeloid,C,71,838,0.3392058619718309,0.4172283695799522,-0.0780225076081213,-0.2721170637890504,0.2552487187685499
NK,T,166,481,0.1507361017710843,0.3189958987006236,-0.1682597969295393,-0.3115250200987388,0.0070034209983784
NK,E,166,481,1.674665261084337,1.769462646819127,-0.0947973857347894,-0.2034129812027802,0.0078239279248116
NK,X,166,481,0.2166310127289156,0.2113119451600831,0.0053190675688324,0.037218195211113,0.7021904335626707
NK,C,166,481,0.5892884826807228,0.7896180648024949,-0.2003295821217721,-0.2942146847443916,0.0020059690946923
Plasma,T,176,286,0.1825217736136364,0.3395530789090909,-0.1570313052954545,-0.3080732024712255,0.0004949950237118
Plasma,E,176,286,0.1690647458068181,0.5493614934405594,-0.3802967476337412,-0.7308220012935625,2.0956448990841701e-19
Plasma,X,176,286,0.1913452437215909,0.2848056187167831,-0.0934603749951922,-0.5661535154355272,1.6900926035997282e-08
Plasma,C,176,286,0.1285876534772727,0.3437685764545454,-0.2151809229772727,-0.470091231530592,2.769460323479398e-05
Treg,T,74,309,0.2706001827027027,0.3202473054692556,-0.0496471227665529,-0.0837357183378327,0.215142397562742
Treg,E,74,309,0.3403175981081082,0.279782862394822,0.0605347357132861,0.1476937340338281,0.9558505213595276
Treg,X,74,309,0.1918037375135134,0.243642613184466,-0.0518388756709525,-0.3517695942396326,0.0085147175977786
Treg,C,74,309,1.189173535,1.186240151067961,0.0029333839320384,0.0056009226944395,0.6375517686379721
