cohort,timepoint,metric,PD_mean,PRCR_mean,PRCR_minus_PD,direction
GSE91061,on-treatment,T axis,0.1736124255482355,-0.961052235958344,-1.13466466150658,-
GSE91061,on-treatment,E axis,-0.2643566897301885,0.7858936681889318,1.05025035791912,+
GSE91061,on-treatment,X axis,-0.1941676561351207,1.110227098971824,1.304394755106945,+
GSE91061,on-treatment,C axis,-0.3524401858178535,0.8307337998350558,1.183173985652909,+
GSE91061,on-treatment,Frozen boundary score,-1.229115317897194,1.062513778917314,2.291629096814508,+
GSE91061,baseline (pre),T axis,0.020277816576647,0.1934896525807635,0.1732118360041165,+
GSE91061,baseline (pre),E axis,-0.4182085574663806,0.2495046486883495,0.6677132061547301,+
GSE91061,baseline (pre),X axis,-0.2940869589097487,0.365555102874666,0.6596420617844148,+
GSE91061,baseline (pre),C axis,-0.5038579739216736,0.3097779724476959,0.8136359463693696,+
GSE91061,baseline (pre),Frozen boundary score,-1.323936684848597,-0.4020367021933768,0.92189998265522,+
GSE78220,baseline (pre),T axis,0.2584365117899143,-0.2400481934861877,-0.498484705276102,-
GSE78220,baseline (pre),E axis,0.0408573428658551,-0.0979291176650695,-0.1387864605309246,-
GSE78220,baseline (pre),X axis,0.4511537361351066,-0.4515222885801227,-0.9026760247152292,-
GSE78220,baseline (pre),C axis,0.1359582177565161,-0.138361197115403,-0.2743194148719192,-
GSE78220,baseline (pre),Frozen boundary score,-0.6793221845005435,-0.6777091172853766,0.0016130672151668,+
