axis,phenotype,mean_score,std,n,anova_p,posthoc_p_vs_inflamed
T,inflamed,-0.0427291273181667,0.940996881122729,74,0.7167259871943474,
T,excluded,0.0338355393351196,1.014240647314342,134,0.7167259871943474,0.8563
T,desert,0.0894349377332115,1.014799520214235,76,0.7167259871943474,0.6955
E,inflamed,-0.0486637251394652,1.027337234150043,74,0.5252953867911843,
E,excluded,0.0011131154521775,0.9171020239328982,134,0.5252953867911843,0.9353
E,desert,0.1263134977807018,1.060394363165613,76,0.5252953867911843,0.5232
X,inflamed,0.0919753792363326,0.8911563801766931,74,0.0176679216377052,
X,excluded,0.1399738556551813,0.9890494345125296,134,0.0176679216377052,0.9393
X,desert,-0.2514422855736626,1.054128839861308,76,0.0176679216377052,0.0838
C,inflamed,-0.2121609014405445,1.124853292027008,74,0.095658171531207,
C,excluded,0.0384025098496322,0.956498364986164,134,0.095658171531207,0.177
C,desert,0.1112410895708527,0.8192396004664221,76,0.095658171531207,0.1043
