analysis,interpretation,metric,value,CI_95,P_value,n,detail
GSE78220 pretreatment melanoma,Near-null primary,AUC,0.47619047619047616,"[0.24404761904761904, 0.7083333333333334]",0.8573142685731426,26,"All 27 eligible pretreatment biopsies; unweighted patient mean; 26 patients"
IMvigor210 pretreatment urothelial carcinoma,Inverted projection,AUC,0.399612539626629,"[0.32687566044381827, 0.47560760831278615]",0.0165983401659834,235,Two-sided permutation test
Sade-Feldman pretreatment CD45+ pseudo-bulk,Inverted immune-only projection,AUC,0.3333333333333333,"[0.09999999999999998, 0.6]",0.23367663233676633,19,
Sade-Feldman on-treatment CD45+ pseudo-bulk,Carrier context; interval spans 0.5,AUC,0.4107142857142857,"[0.17261904761904764, 0.6666666666666667]",0.47855214478552144,29,Registered pseudo-bulk producer
GSE282471 Japanese pretreatment melanoma,SUPERSEDED_HOLD,AUC,,,,,Authority closure failed; audit-only provenance; no active estimate
MGH paired movement,Supportive movement context,4D cohort-mean cosine,0.644,,,7,Verified pairs; bootstrap CI spans zero
Yost BCC pseudo-bulk,Substrate-dependent movement context,Positive shifts,8,,,11,Patients
Yost BCC pseudo-bulk,Substrate-dependent movement context,4D cohort-mean cosine,0.496,,,11,
Yost BCC pseudo-bulk,Substrate-dependent movement context,T/E/C cohort-mean cosine,0.543,,,11,
GSE273583 resistant melanoma,Resistance-state concordance,PD-like fraction,0.813,,0.011,16,13/16 below locked threshold; exact binomial test
GSE126044 pretreatment NSCLC,Small-cohort cross-cancer extension,AUC,0.927,"[0.734, 1.000]",,16,
SU2C-MARK pretreatment NSCLC,Larger-cohort attenuation,AUC,0.590,"[0.487, 0.691]",0.079,136,Permutation test
Ulcerative colitis negative control,Movement negative control,Placebo median cosine,0.525,,,,GSE92415 placebo arm
Ulcerative colitis negative control,Movement negative control,Responder-placebo delta,0.134,"[-0.040, 0.332]",,,
TCGA-SKCM,Prognostic context only,M1 boundary HR,0.65,"[0.53, 0.80]",3.07e-05,252,118 events
TCGA-SKCM,Prognostic context only,M3 boundary HR,0.93,"[0.67, 1.29]",0.65,252,118 events
