Cohort,Accession / public source,Original reference,Cancer type,Treatment,Timepoint,Data type,n (record/sample),n (patient),Response definition,Inclusion/exclusion,Analysis role,Evidence status
GSE91061 / Riaz,GSE91061 (GEO),Riaz et al. 2017,Melanoma,Nivolumab (anti-PD-1),On-treatment,Bulk RNA-seq,27,27,RECIST (PR/CR vs PD),Response-labeled on-treatment biopsies with complete frozen-axis inputs,Derivation,Core
PRJEB23709 / Gide,PRJEB23709 (ENA),Gide et al. 2019,Melanoma,Anti-PD-1 mono or ipilimumab + anti-PD-1,On-treatment,Bulk RNA-seq,18,18,RECIST (R vs NR),Response-labeled on-treatment biopsies with frozen-axis inputs,External validation,Core
MORRISON-1-public,PRJNA923698 (SRA); processed data: GitHub (ParkerICI/MORRISON-1-public),Campbell et al. 2023 / ParkerICI,Melanoma,Anti-PD-1 or ipilimumab + anti-PD-1,On-treatment,Bulk RNA-seq,38,38,CR/PR vs PD,Public on-treatment biopsies with response labels and expression data,External validation,Core
MGH,GSE115821 + GSE168204 (GEO),Liu et al. 2019,Melanoma,PD-(L)1-containing,On-treatment,Bulk RNA-seq,29,14,RECIST (R vs NR),Harmonized on-treatment biopsies with auditable response and gene mapping,Directional external validation,Directional
PRJEB23709 paired,PRJEB23709 (ENA),Gide et al. 2019,Melanoma,Anti-PD-1 mono or ipilimumab + anti-PD-1,Pre-to-on paired,Bulk RNA-seq,16 therapy-specific paired records,15,Therapy-specific response available (R/NR),Matched pretreatment and early on-treatment records with complete paired metadata,State-versus-movement analysis,Core
GSE78220 / Hugo,GSE78220 (GEO),Hugo et al. 2016,Melanoma,Anti-PD-1,Pretreatment,Bulk RNA-seq,27,26,RECIST (PR/CR vs PD),"All 27 eligible pretreatment biopsies; repeated biopsies enter the unweighted patient mean (26 patients); active primary near-null rule",Operating-envelope primary,Primary near-null (AUC 0.476)
IMvigor210,Publisher portal,Mariathasan et al. 2018,Urothelial,Atezolizumab (anti-PD-L1),Pretreatment,Bulk RNA-seq,235,235,CR/PR vs PD,Pretreatment tumors with response labels; SD/NE/missing excluded,Comparison-only envelope context,Comparison-only
GSE282471 / Kimura,GSE282471 (GEO),Kimura et al. 2026,Melanoma (acral/mucosal-enriched),ICI (anti-PD-1 / anti-CTLA-4),Pretreatment,Bulk RNA-seq,36,33,irRECIST (PR/CR vs PD),Response-labeled pretreatment samples with public processed RNA-seq,Excluded from active envelope (superseded historical candidate),Superseded / not active
Sade-Feldman,GSE120575 (GEO),Sade-Feldman et al. 2018,Melanoma,Anti-PD-1 or ipilimumab + anti-CTLA-4,Mixed treatment timing,scRNA-seq pseudo-bulk,Analysis-specific,Not used for patient-level inference,CR/PR vs PD,Curated samples with response linkage and lineage-resolved pseudo-bulk data,Comparison-only carrier context,Comparison-only
GSE244982,GSE244982 (GEO),GEO dataset GSE244982,Melanoma,Post-anti-PD-1 progression,Post-progression,Bulk RNA-seq,41,Not recoverable from public metadata,Resistance state,Post-progression samples with usable expression,Resistance concordance,Supplementary
GSE273583,GSE273583 (GEO),GEO dataset GSE273583,Melanoma,Post-anti-PD-1 progression,Post-progression,Bulk RNA-seq,16,Not recoverable from public metadata,Resistance state,Post-progression samples with usable expression; no verified pairing key,Resistance concordance,Supplementary
TCGA-SKCM,GDC,TCGA Network 2015 and Thorsson et al. 2018,Melanoma,None (surgical),Untreated,Bulk RNA-seq,459,459,Overall survival,Cases with survival metadata and RNA-seq profiles,Prognostic context,Context only
GSE126044,GSE126044 (GEO),Cho et al. 2020,NSCLC,Anti-PD-1,Pretreatment,Bulk RNA-seq,16,16,RECIST,Pretreatment biopsies with response labels and frozen-axis inputs,Cross-cancer extension,Supplementary
SU2C-MARK,dbGaP,Ravi et al. 2023,NSCLC,PD-(L)1-containing,Pretreatment,Bulk RNA-seq,136,136,RECIST,Pretreatment tumors with harmonized response metadata and frozen-axis inputs,Cross-cancer stress test,Supplementary
